LS,HS,Year,Round,High Seed,Low Seed,Spread,FavScore,DawgScore,Site,Distance from LS,Distance from HS,,,,,,,,,,,,,,,,,
8,9,2026,R64,Ohio State,TCU,-2.5,64,66,Greenville,358,872,,,,,,,,,,,,,,,,,
1,16,2026,R64,Duke,Siena,-28.5,71,65,Greenville,210,714,,,,,,,,,,,,,,,,,
6,11,2026,R64,Louisville,South Florida,-4.5,83,79,Buffalo,482,1043,,,,,,,,,,,,,,,,,
3,14,2026,R64,Michigan State,North Dakota State,-15.5,92,67,Buffalo,284,918,,,,,,,,,,,,,,,,,
5,12,2026,R64,St. John's,Northern Iowa,-9.5,79,53,San Diego,2439,1504,,,,,,,,,,,,,,,,,
4,13,2026,R64,Kansas,Cal Baptist,-14.5,68,60,San Diego,1298,84,,,,,,,,,,,,,,,,,
7,10,2026,R64,UCLA,UCF,-5.5,75,71,Philadelphia,2398,853,,,,,,,,,,,,,,,,,
2,15,2026,R64,UConn,Furman,-20.5,82,71,Philadelphia,201,526,,,,,,,,,,,,,,,,,
5,12,2026,R64,Wisconsin,High Point,-10.5,82,83,Portland,1642,2300,,,,,,,,,,,,,,,,,
4,13,2026,R64,Arkansas,Hawaii,-15.5,97,78,Portland,1616,2594,,,,,,,,,,,,,,,,,
6,11,2026,R64,BYU,Texas,-2.5,71,79,Portland,665,1707,,,,,,,,,,,,,,,,,
3,14,2026,R64,Gonzaga,Kennesaw State,-21.5,73,64,Portland,290,2149,,,,,,,,,,,,,,,,,
1,16,2026,R64,Arizona,LIU,-30.5,92,58,San Diego,364,2430,,,,,,,,,,,,,,,,,
8,9,2026,R64,Villanova,Utah State,1.5,76,86,San Diego,2358,689,,,,,,,,,,,,,,,,,
2,15,2026,R64,Purdue,Queens U,-25.5,104,71,St. Louis,215,570,,,,,,,,,,,,,,,,,
7,10,2026,R64,Miami FL,Missouri,-1.5,80,66,St. Louis,1057,117,,,,,,,,,,,,,,,,,
1,16,2026,R64,Michigan,Howard,-30.5,101,80,Buffalo,251,291,,,,,,,,,,,,,,,,,
8,9,2026,R64,Georgia,Saint Louis,-2.5,77,102,Buffalo,664,662,,,,,,,,,,,,,,,,,
7,10,2026,R64,Kentucky,Santa Clara,-3.5,89,84,St. Louis,311,1722,,,,,,,,,,,,,,,,,
2,15,2026,R64,Iowa State,Tennessee State,-24.5,108,74,St. Louis,297,253,,,,,,,,,,,,,,,,,
5,12,2026,R64,Texas Tech,Akron,-7.5,91,71,Tampa,1215,909,,,,,,,,,,,,,,,,,
4,13,2026,R64,Alabama,Hofstra,-11.5,90,70,Tampa,474,1016,,,,,,,,,,,,,,,,,
3,14,2026,R64,Virginia,Wright State,-17.5,82,73,Philadelphia,221,472,,,,,,,,,,,,,,,,,
